task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,precision,tokens,browser_calls,latency_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin
task_0013,family_02,template_02,0.75,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.75,10,B-RAG-EMBED,1,0,0,1,5250,21,10270,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.75,10,B-STAGEHAND-CACHE,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.75,10,B-TERX-REPLAY,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0013,family_02,template_02,0.75,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.1035926991791123,0
task_0013,family_02,template_02,0.75,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0013,family_02,template_02,0.75,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,P-SPIDER-PARAM,1,0,1,0,5350,21,10270,0,0,1,0,0.028831495368124762,0
task_0014,family_02,template_02,1.0,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,B-RAG-EMBED,1,0,0,1,5250,21,10270,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,B-STAGEHAND-CACHE,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,B-TERX-REPLAY,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0014,family_02,template_02,1.0,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.02100590843278159,0
task_0014,family_02,template_02,1.0,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0014,family_02,template_02,1.0,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,P-SPIDER-PARAM,1,0,0,1,1750,13,3230,8,1,1,1,0.9093115305788592,4
task_0015,family_02,template_02,0.25,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,B-RAG-EMBED,1,0,0,1,5250,21,10270,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,B-STAGEHAND-CACHE,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,B-TERX-REPLAY,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0015,family_02,template_02,0.25,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.028672100036984526,0
task_0015,family_02,template_02,0.25,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0015,family_02,template_02,0.25,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,P-SPIDER-PARAM,1,0,1,0,5350,21,10270,0,0,1,0,0.08316544937394527,0
task_0016,family_02,template_02,0.5,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,B-RAG-EMBED,1,0,0,1,5250,21,10270,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,B-STAGEHAND-CACHE,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,B-TERX-REPLAY,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0016,family_02,template_02,0.5,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.12852612448534345,0
task_0016,family_02,template_02,0.5,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0016,family_02,template_02,0.5,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.75,10,P-SPIDER-PARAM,1,0,1,0,5350,21,10270,0,0,1,0,0.0749676234954397,0
task_0017,family_02,template_02,0.75,10,B-COLD,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.75,10,B-INSTRUCTION,1,0,0,1,5070,21,10120,0,0,1,0,0.5,2
